,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
118,3,2717,2740,2493.33,2509.47,,,45.41831999999962,3.00168,0.006071976032053508,2024-08-23 08:00:00+00:00,2024-08-26 08:00:00+00:00,3 days 00:00:00,
119,-3,2740,2763,2509.47,2507.24,,,3.6799740000000547,3.010026,0.0004888115817284017,2024-08-26 08:00:00+00:00,2024-08-27 08:00:00+00:00,1 days 00:00:00,
120,-3,2763,2786,2507.24,2511.44,,,-15.611208000000818,3.011208,-0.002075483798918469,2024-08-27 08:00:00+00:00,2024-08-28 08:00:00+00:00,1 days 00:00:00,
121,3,2786,2809,2511.44,2515.78,,,10.003668000000436,3.0163320000000002,0.001327746631414615,2024-08-28 08:00:00+00:00,2024-08-29 08:00:00+00:00,1 days 00:00:00,
122,3,2809,2832,2515.78,2513.28,,,-10.517436,3.017436,-0.001393528845924495,2024-08-29 08:00:00+00:00,2024-08-30 08:00:00+00:00,1 days 00:00:00,
123,-3,2832,2855,2513.28,2496.83,,,46.34393400000082,3.006066,0.006146540775401223,2024-08-30 08:00:00+00:00,2024-09-02 08:00:00+00:00,3 days 00:00:00,
124,-3,2855,2876,2496.83,2495.85,,,-0.05560799999994526,2.995608,-7.423813395413957e-06,2024-09-02 08:00:00+00:00,2024-09-03 08:00:00+00:00,1 days 00:00:00,
125,-3,2876,2899,2495.85,2495.76,,,-2.7249660000009275,2.994966,-0.00036393292866173814,2024-09-03 08:00:00+00:00,2024-09-04 08:00:00+00:00,1 days 00:00:00,
126,-3,2899,2922,2495.76,2494.15,,,1.8360540000003818,2.993946,0.0002452230983748395,2024-09-04 08:00:00+00:00,2024-09-05 08:00:00+00:00,1 days 00:00:00,
127,-3,2922,2945,2494.15,2518.31,,,-75.48747599999956,3.0074760000000005,-0.010088604133672668,2024-09-05 08:00:00+00:00,2024-09-06 08:00:00+00:00,1 days 00:00:00,
128,3,2945,2968,2518.31,2498.12,,,-63.579858000000165,3.0098580000000004,-0.008415677974514667,2024-09-06 08:00:00+00:00,2024-09-09 08:00:00+00:00,3 days 00:00:00,
